post,response,emotion
how s it coming ?,it looks like it very well .,4
ah i can do it perfectly .,how do you do that ? ?,0
any other bags dr . johnson ?,not really i m just asking about it .,4
you think it looks nice ?,i honestly think it looks great .,1
oh it s the way you talk .,yes . . . .,2
i think that is really cool of you .,i m glad to hear that .,1
how do you like your job here linda ?,it s interesting i like being an editor .,0
i hope that you had good journey .,yes . thank you . .,0
i m supposed to call in .,please take me to call you too noon .,0
i want to go home .,how about going to a movie ?,2
how old is he today ?,it s his th birthday .,0
i apologize for their tardiness .,i was late for work because of them .,0
and you know what ?,i voted ? he doesn t .,0
your mother won t be going right away charles,that s what about it . .,4
but the lord came to me,i m glad you have it . .,2
i don t wanna talk about it .,i can help you with it . .,0
now how did you get hurt ?,i m not sure how about it ?,0
about a year and a half .,so you have a good job ?,2
yes . . . lots of things !,what s your dance address ? ?,3
how much more are you thinking ?,i can let it go at a month .,1
don t you u dare u .,what was your major at university ? ?,2
how about going swimming ?,ok . where should we go ?,0
i m going to wait in the car .,please see the worst too . .,3
tell me about it .,they might actually win the game .,0
can i help you ?,yes do you have any rooms available ?,0
no . i never date outside my race .,what s wrong with her sir ?,2
yes . that is why i m here .,tell me your argument . .,0
what does that sign say ?,you need to go to australia .,0
i m majoring in english .,is it difficult to learn ? ?,0
thank you very much .,you re welcome . my honor .,1
one that won t grow up too big .,do you have any other questions ? ?,0
yes it seems that way to me also .,i will now this seat . .,0
sprite with ice please .,ok . here you are . .,1
george you look terrible .,yes i can do that .,2
what s going on ?,nothing really you ? how about ?,1
that man s really a bore to me .,which one do you mean ? ?,0
hey hey y know what ?,what ? he is full on monday .,2
where is it ? this place ?,it is a beautiful game transferred in october .,2
perhaps you d be interested in red roses .,ok we ll take care of that .,0
they weren t supposed to arrest me .,they are bragging to tell him . .,2
is that all you need ?,i also need to check these books out .,0
that s what i charge .,i ll hire you anyway . .,0
about two hundred and fifty miles .,so what am i allowed ? ?,4
with those camera lights and . . .,what do you mean ? ?,0
excuse me for taking your time .,it s nothing navy .,0
it s awfully quiet around here .,yeah . there s nobody in sight .,0
i don t know .,please think it over . .,0
how far up the trail ?,six thirty minutes .,4
they re so precious when they re asleep .,they say this morning .,1
so we better get started .,how long have you been lately ?,4
take my word for it .,so what can i help ? ?,1
what s wrong available ?,it s a letter from nyu . .,1
is this taxi taken ?,no it s so easy . .,0
where s your brother ?,he is in a housewife . .,2
but it was u him u,i think i went out of living .,1
ever been in a place like this before ?,yes . blue boxes madam .,1
hello mr . black how are you ?,fine thanks . you are healing .,1
i m feeling down .,what a pity ! then !,0
by american express if that s ok .,of course sir . will you need right now,0
she s down . help her . . .,she is she like to meet her .,3
one . in case . . .,what was the rate ? . .,1
where do you live ?,in london .where do you live ? here,0
are you all right ?,no i m not . you ?,0
what makes you say that ?,today i m told i failed three courses .,0
now that was worth waiting for .,where were you staying ? ?,1
what can i do for you ?,i need to return a book .,0
will this be cash or charge ?,i d be paying with cash .,3
i don t believe it .,and i score three of them . .,4
why doesn t he ask her ?,he is too scared to ask her .,0
do you want to settle the bill now ?,yes . do you accept traveler s checks ?,0
of course . but only on monday nights .,what s your monthly date ? ?,4
i want to ride my own bike .,really ? that s a good journey .,2
where did you hit her ?,i watched her girl .,2
that wasn t my fault .,may i have your name please ? ?,0
oh i forget . sorry .,i went to harvard university . .,0
it was on the tv .,did you watch it checked on the whole ?,1
i will be voting tomorrow .,you are so lucky . then .,0
stand still miss jenny !,hey ! my lost k is making ms,1
not if you don t want to .,well isn t there anything you want ?,0
surely there are other ways to save money .,what are you talking about we tried everything !,1
that is exactly what we re looking for .,well each room is dollars a week .,1
this is three years old .,and your number please ? ? ?,4
out for the evening ?,yeah . .,1
anything else mr . smith ?,no more thank you very much .,0
look maybe that s him !,he s still a promotion . ?,4
you re an animal .,thank you . my trophy .,1
why do you like it best ?,i enjoy the various characters and the plot .,1
their real names please .,i m sorry sir is he also .,4
why did the chicken cross the road ?,that s the new weather i met .,2
can i help you ?,yes do you have any rooms available ?,0
do you believe i love you ?,i m very busy . .,2
give me one bottle of one hundred tablets .,round ! then . !,0
jimmy what are you doing ?,putting on mascara .,2
are their cards free too ?,no their cards are for sale .,0
you shouldn t play this game .,oh it is a beautiful game .,0
rock n roll i guess .,you mean the kind of stuff like nirvana ?,0
we can take a bus there .,what s wrong ? ?,0
i won t go any lower than .,i feel your feeling under the day .,0
what kind of teaching certificate do you have ?,i have a tefl certificate . .,0
that was really a nightmare !,honey what s up ? ?,4
what is that i thing i ?,you are going to be a high .,2
you want zero to kill him ?,yes he is . ?,2
mike ! look at the floor !,what s wrong with it ? ?,0
i haven t seen you before .,i can t believe i dance . .,0
thank you for your compliment .,i m very kind of you . .,1
i like the gym smell .,why ? the best is not too .,2
plus the same deal as before .,that s great .,4
what would you like to be ?,i ll open it at the savings form .,1
you re looking at him .,thanks for him . .,2
i think television s a dangerous thing .,why ? that a lot .,2
are you all right ?,no i m not . you ?,4
pay no attention to me .,why ? you mean a lot to me .,1
it is feeding bottle as the free gift .,it is thoughtful . i will take it .,1
what would you like to do tonight ?,i m not sure . how much .,0
i d like to rent a car .,may i see your driver s license please ?,0
and she s a knock out too .,i feel this way .,0
i want to see my wife and kid .,what does she have ? ?,4
no i m sorry .,why ? i could . .,4
kind of . you didn t know ?,i m not sure what s the problem ?,2
would you mind doing something for me ?,i would if i could .,1
what day is it on earth ?,it s an anniversary of our weeding .,3
i guess this is a first for you .,i m glad to meet you too .,4
what do you mean ?,sometimes the traffic is too busy .,0
my stomach was bothering me .,are you feeling any better ? ?,0
come on . . .,really ? i m sorry i was .,1
what would you like to drink ?,i ll just have water .,0
what s the problem ?,i need to make a court .,0
it s already posted .,well we still have meeting for a year .,0
i just stayed at home and watched tv .,did you watch the barcelona versus madrid game ?,0
ah . the royal i think .,what time does it start ? ?,0
i know the feeling .,really ? what did the check ?,0
how re ya feeling ?,perfect . t be fine .,4
assistant . and don t call me jazz .,you re welcome . yuan for your receipt,3
my dear francis you do seem extremely uncomfortable .,in the way miss what s the problem ?,2
eight hundred and fifty thousand dollars .,all right what did you do ?,4
what s going on ?,nothing really you ? how about ?,2
yes . at first sight .,can you describe the situation at that time ?,1
i ve been thinking about this .,i see . what can i help you ?,0
do you feel like dancing ?,yes ? why not ? how about you,0
he s number four .,thank you for your help .,1
no . not really .,there s a really ok isn t it ?,1
how would you like your hair cut ?,i want it short .,0
what makes you so sure ?,she s a good journey i m scared .,2
our first choice would be,how many guests will be in your party ?,0
i am trying to find this book .,what s the problem ? ? .,0
i don t want you to let go .,yeah you like it . . .,2
why s that necessary all of a sudden ?,i went to court soon .,4
what about cigarettes or cigars ?,i ve got some cigars . .,0
be quiet and listen .,have you gotten have a car drive ?,2
i ve gotten a few .,how do you think of living here ?,0
what else do we need ?,i need to check out this video .,0
is he getting better now ?,i think so .thank you .,1
what should i do about my doubt teacher ?,i guess so .thank you .,2
this is not a good time .,what s the fare for me ?,3
that s because you did well .,i ve just been working a lot .,0
their sound is quite musical .,that s great . it eyes .,2
and leave me down here ? ? ?,surely of course . .,4
bar across the street .,oh i see that s right now .,0
you almost got into trouble back there .,that s so too . t be,2
what about some drink ?,oh don t you know a fight ?,0
i m so hungry .,why ? how was your major ?,3
will this thing take long ?,no . it s two after meals .,2
why didn t i ?,you didn t ? . .,2
so where s the art ?,it s george i m in love .,2
sure what kind do you like ?,i like rumba and tango .,0
why do you like it best ?,i enjoy the various characters and the plot .,1
here let me do that .,thanks . this seat . .,2
did she believe you ?,no i was in english . .,1
maybe you should talk to the teacher .,what do you mean ? ? ?,0
can i buy more than one case ?,yes . the limit is four per family .,1
you have beautiful eyes .,i really like it .,2
can i bring my camera with me ?,sure . bring enough films please . .,1
may i turn on the tv then ?,turn on the tv for what ?,0
no no . . .,have you got any english services ? ?,1
i thought it was pretty good .,i can t say i agree .,0
i have a half brother .,how long have you been ? ?,2
curse this oven ! curse it !,but he re it too .,2
let s get a soft drink .,do we have enough time ? ?,1
again i thank you .,you are welcome . some other time .,3
thank you . it s fine .,how much would you like to register ?,0
and your point is ?,no they have a day before on me .,0
anything else i can get you ?,i d like to withdraw my check .,4
because i try to be nice to people ?,certainly . .,4
i read the hospital report on your client .,i m glad to hear that . .,2
ok . i m dick .,glad to meet you . .,0
if you want to be found that way .,ok . bye . !,4
it costs only two thousand yuan .,i see . what can i do then ?,0
i really like where i m at now .,so why don t you plan to stay ?,0
careful . that s bad luck .,thank you . the same .,2
that s not what i meant .,i know where your polling place .,2
have you got any wine or spirits ?,no i don t drink .,0
don t worry . you ll be fine .,that s good to know . .,0
i enjoy the various characters and the plot .,well . i like the thom birds best .,0
hey david . would you like some drinks ?,ok . shall we go to a bar ?,1
this is gotta be a game right ?,yes it is . .,4
what is it doing ?,it s a taiwanese puppet doll .,2
then how come you got the fine ?,no i ve already been anything for you .,4
when did you start singing ?,last night th .,1
i ve booked an air ticket to venice .,how long will you be there ?,0
i know you can do it .,i can do that . .,1
we ve got work to do .,i suppose i m sorry .,1
that s more like it .,do you know what the coffee ?,0
guess i kind of lost it there .,i m sorry .,2
that sounds good . let me see one .,ok . here you are . .,0
that s great news .,what happened ? to me . ?,0
how are you baby ?,i m fabulous . this is warm fair,2
do you have an english chinese dictionary ?,yes . here you are .,1
here you go ! no pushing !,yes but you have to have right away .,4
before i kill you .,so why don t you ? .,4
how do you know so much ?,it s going to be .,0
speaking . may i help you ?,yes i d like to settle my bill .,0
go inside at once .,where did you visit ? ?,3
where do you live ?,in london .where do you live ? here,0
i ll help you .,i appreciate that . . .,4
are you really interested in doing something ?,i don t mind if you want to .,0
what are you thinking of getting ?,i think my hair looks great .,0
how often do you play tennis ?,twice a week . how about you ?,0
you re planning to speak ?,i m not feeling a little . i,2
how much are they ?,they are . . . .,0
how near is she to death ?,she s a cup of month .,3
oh . thank you .,it s my major . .,0
i m not afraid of her .,she is really don t you ?,0
i mean this this looks so great .,you should ? that too . .,0
six per day and two after each meal .,thank you very much . out then .,0
can you give me some room here ?,certainly . here is your passport thanks . pot,2
i think she liked me .,she should be a professional park .,3
yeah okay give that a try !,you re welcome ! this is june it,1
