post,response,score,emotion
how s it coming ?,not . fine . thank you .,0.5140974356068505,0
how s it coming ?,well i think so be you .,0.8547784321837955,1
how s it coming ?,well i think so tired .,0.8171372786164284,2
how s it coming ?,well i m thank you to .,0.6943707855211364,3
how s it coming ?,do i think i m to .,1.1293233533700306,4
ah i can do it perfectly .,what are your dead ?,0.691305839589664,0
ah i can do it perfectly .,how kind of you ?,0.8891910176192012,1
ah i can do it perfectly .,do you tell me ?,0.5877953975328377,2
ah i can do it perfectly .,so ? tell me .,0.5739091432520321,3
ah i can do it perfectly .,because you are dead .,0.796965171716043,4
any other bags dr . johnson ?,yes honey of a .,1.2162847252828735,0
any other bags dr . johnson ?,yes i certainly out .,1.0880073649542672,1
any other bags dr . johnson ?,yes . the course .,1.1188105791807175,2
any other bags dr . johnson ?,because i forgot to .,1.0737276385937418,3
any other bags dr . johnson ?,i certainly the of .,1.1191401396478926,4
you think it looks nice ?,yes it was matter to drink .,0.8314637514607361,0
you think it looks nice ?,it s it isn t .,0.46947246650233865,1
you think it looks nice ?,yes . i think it s,0.8568221237510443,2
you think it looks nice ?,does it matter by ?,0.8426843221698489,3
you think it looks nice ?,that s a matter me today .,0.8755448477135764,4
oh it s the way you talk .,well i just know tired .,0.4203609030228108,0
oh it s the way you talk .,well i just know shit .,0.5995015734806657,1
oh it s the way you talk .,thank you . i don t know .,0.6340834800783341,2
oh it s the way you talk .,not on the way you am .,0.6313106815020243,3
oh it s the way you talk .,well i just know tired .,0.7355836201459169,4
i think that is really cool of you .,i am so better .,0.5384925831707993,0
i think that is really cool of you .,i think so more much it .,0.6291780216464152,1
i think that is really cool of you .,i think it better too .,0.6807628362439573,2
i think that is really cool of you .,i think it much cool too .,0.6564965833288928,3
i think that is really cool of you .,i think that much really,0.7287683188915253,4
how do you like your job here linda ?,it s interesting i like being very editor .,0.47628220594073023,0
how do you like your job here linda ?,it s interesting i it being yours editor .,0.5854732307873912,1
how do you like your job here linda ?,i s it being it being an editor .,0.8116194402419875,2
how do you like your job here linda ?,it s like being black being .,1.0594541728496552,3
how do you like your job here linda ?,it s being the black being . editor .,0.8198756700896245,4
i hope that you had good journey .,i m very so much .,0.5359138092026114,0
i hope that you had good journey .,i really hope so much .,0.7120891269296408,1
i hope that you had good journey .,i hope that wouldn t .,0.6231447588797892,2
i hope that you had good journey .,i really hope you .,0.7463512888976506,3
i hope that you had good journey .,i really hope so .,0.3265570528123395,4
i m supposed to call in .,ok . but you though .,0.9118180694058537,0
i m supposed to call in .,oh you re in told of you .,0.818706683909113,1
i m supposed to call in .,well you man in you re call .,0.7943225290277042,2
i m supposed to call in .,you re in you . me call .,0.91659310082905,3
i m supposed to call in .,well you re in you me you .,0.7749181041144766,4
i want to go home .,okay let s go home .,0.6880648136138916,0
i want to go home .,how should i go home ?,0.7363336286507547,1
i want to go home .,okay let s go home then .,0.23576202057301998,2
i want to go home .,okay let s go home then .,0.3881525879648204,3
i want to go home .,okay let s go home .,0.4188210667925887,4
how old is he today ?,it s his th birthday .,0.3968516495078802,0
how old is he today ?,he s his th birthday .,0.8244947046041489,1
how old is he today ?,he s t . or .,0.7620485366787761,2
how old is he today ?,i . he s .,0.815551974943706,3
how old is he today ?,i think he s his .,0.7177190412767231,4
i apologize for their tardiness .,i was some late for work of them .,0.517030384046021,0
i apologize for their tardiness .,i was late for work because of them .,0.41359818650678126,1
i apologize for their tardiness .,i was late for work because of them .,0.20975732490676985,2
i apologize for their tardiness .,i was late for work because of them .,0.24326267908451304,3
i apologize for their tardiness .,i was late for work because of them .,0.3027285138474657,4
and you know what ?,that s a time you . on you .,1.0221498317340134,0
and you know what ?,no you . t you know,0.9952766820788383,1
and you know what ?,no . you t you know !,1.0126594305038452,2
and you know what ?,i . you yes .,0.9532431193760463,3
and you know what ?,that you was there you know !,0.7185290153655741,4
your mother won t be going right away charles,but he took me to join me .,0.7901892622992819,0
your mother won t be going right away charles,he asked to even enough !,0.8841257134918122,1
your mother won t be going right away charles,he asked to me !,0.34563514590263367,2
your mother won t be going right away charles,he asked to even kill this !,0.7520876754877261,3
your mother won t be going right away charles,he asked me i want !,0.7647263370454311,4
but the lord came to me,that is a problem .,0.7254813079323087,0
but the lord came to me,uh you have a problem of,0.7032001167535782,1
but the lord came to me,must have a problem .,0.5176762214728764,2
but the lord came to me,could you like it ?,0.5319120532699994,3
but the lord came to me,must have a problem .,0.47754339235169546,4
i don t wanna talk about it .,what is the wrong ?,0.6762781270912716,0
i don t wanna talk about it .,where is he wrong ?,0.6781498012798173,1
i don t wanna talk about it .,and what is it ?,0.6551541595586708,2
i don t wanna talk about it .,where are he wrong ?,0.8400800744337695,3
i don t wanna talk about it .,can t help it .,0.9041978216597012,4
now how did you get hurt ?,nothing . i just work .,0.7524087796919048,0
now how did you get hurt ?,nothing . how week we work .,1.1516201198101044,1
now how did you get hurt ?,nothing . just talking off .,1.1025543139548972,2
now how did you get hurt ?,i got the talking work .,1.3026226998772472,3
now how did you get hurt ?,i got the talking off .,0.9673826342914253,4
about a year and a half .,how long do you take ?,0.21619355771690607,0
about a year and a half .,how long for everything ?,0.47521617103900227,1
about a year and a half .,how long did you say how about,0.48386647841996616,2
about a year and a half .,how long about great how about a,0.5950003928608365,3
about a year and a half .,how long . how long we stay there ?,0.5721572951669548,4
yes . . . lots of things !,do you have your tricks address ?,0.7666604483707083,0
yes . . . lots of things !,all again . smith ?,0.6033417284488678,1
yes . . . lots of things !,wire you gotta see them again ?,0.8182644468421736,2
yes . . . lots of things !,wire you gotta see them !,0.7681589938001707,3
yes . . . lots of things !,what are your smith ?,0.8934231230190822,4
