Iteration: 10000; Percent complete: 0.5%; Average loss: 4.4594; Perplexity: 86.43
Iteration: 1; Percent complete: 0.0%; Average loss: 3.5558; Perplexity: 35.02
Iteration: 1000; Percent complete: 0.1%; Average loss: 4.4924; Perplexity: 89.33
Iteration: 2000; Percent complete: 0.1%; Average loss: 4.4640; Perplexity: 86.83
Iteration: 3000; Percent complete: 0.1%; Average loss: 4.4526; Perplexity: 85.85
Iteration: 4000; Percent complete: 0.2%; Average loss: 4.4324; Perplexity: 84.13
Iteration: 5000; Percent complete: 0.2%; Average loss: 4.3535; Perplexity: 77.75
Iteration: 6000; Percent complete: 0.3%; Average loss: 4.3180; Perplexity: 75.04
Iteration: 7000; Percent complete: 0.4%; Average loss: 4.3217; Perplexity: 75.32
Iteration: 8000; Percent complete: 0.4%; Average loss: 4.3191; Perplexity: 75.12
Iteration: 9000; Percent complete: 0.4%; Average loss: 4.2828; Perplexity: 72.44Iteration: 1; Percent complete: 0.0%; Average loss: 5.2762; Perplexity: 195.63
Iteration: 10; Percent complete: 0.0%; Average loss: 4.0490; Perplexity: 57.34
Iteration: 20; Percent complete: 0.0%; Average loss: 4.6526; Perplexity: 104.86
Iteration: 30; Percent complete: 0.0%; Average loss: 4.6515; Perplexity: 104.74
Iteration: 40; Percent complete: 0.0%; Average loss: 4.6778; Perplexity: 107.53
Iteration: 50; Percent complete: 0.0%; Average loss: 4.9202; Perplexity: 137.03
Iteration: 60; Percent complete: 0.0%; Average loss: 4.3412; Perplexity: 76.80
Iteration: 70; Percent complete: 0.0%; Average loss: 4.1813; Perplexity: 65.45
Iteration: 80; Percent complete: 0.0%; Average loss: 4.5017; Perplexity: 90.17
Iteration: 90; Percent complete: 0.0%; Average loss: 3.9959; Perplexity: 54.38
Iteration: 100; Percent complete: 0.0%; Average loss: 4.6165; Perplexity: 101.14
Iteration: 1; Percent complete: 0.0%; Average loss: 5.6790; Perplexity: 292.66
Iteration: 10; Percent complete: 0.0%; Average loss: 4.1642; Perplexity: 64.34
Iteration: 1; Percent complete: 0.0%; Average loss: 5.3377; Perplexity: 208.03
Iteration: 10; Percent complete: 0.0%; Average loss: 4.2234; Perplexity: 68.27
Iteration: 1; Percent complete: 0.0%; Average loss: 3.6681; Perplexity: 39.18
Iteration: 10; Percent complete: 0.0%; Average loss: 3.9310; Perplexity: 50.96
Iteration: 1; Percent complete: 0.0%; Average loss: 3.7360; Perplexity: 41.93
Iteration: 1; Percent complete: 0.0%; Average loss: 5.1752; Perplexity: 176.83
Iteration: 10; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 1; Percent complete: 0.0%; Average loss: 3.7626; Perplexity: 43.06
Iteration: 10; Percent complete: 0.0%; Average loss: 4.1100; Perplexity: 60.95
Iteration: 1; Percent complete: 0.0%; Average loss: 5.2528; Perplexity: 191.11
Iteration: 10; Percent complete: 0.0%; Average loss: 4.1319; Perplexity: 62.30
Iteration: 20; Percent complete: 0.0%; Average loss: 4.9612; Perplexity: 142.76
Iteration: 30; Percent complete: 0.0%; Average loss: 4.3628; Perplexity: 78.47
Iteration: 1; Percent complete: 0.0%; Average loss: 5.2642; Perplexity: 193.29
Iteration: 10; Percent complete: 0.0%; Average loss: 4.4055; Perplexity: 81.90
Iteration: 1; Percent complete: 0.0%; Average loss: 3.8037; Perplexity: 44.87
Iteration: 10; Percent complete: 0.0%; Average loss: 4.2519; Perplexity: 70.24
Iteration: 20; Percent complete: 0.0%; Average loss: 4.1259; Perplexity: 61.92
Iteration: 30; Percent complete: 0.0%; Average loss: 4.6335; Perplexity: 102.87
Iteration: 40; Percent complete: 0.0%; Average loss: 4.4091; Perplexity: 82.19
Iteration: 1; Percent complete: 0.0%; Average loss: 5.2206; Perplexity: 185.04
Iteration: 10; Percent complete: 0.0%; Average loss: 4.6646; Perplexity: 106.12
Iteration: 20; Percent complete: 0.0%; Average loss: 5.1584; Perplexity: 173.89
Iteration: 1; Percent complete: 0.0%; Average loss: 5.3299; Perplexity: 206.41
Iteration: 10; Percent complete: 0.0%; Average loss: 4.6950; Perplexity: 109.40
Iteration: 20; Percent complete: 0.0%; Average loss: 5.2449; Perplexity: 189.59
Iteration: 1; Percent complete: 0.0%; Average loss: 5.3854; Perplexity: 218.19
Iteration: 10; Percent complete: 0.0%; Average loss: 4.8556; Perplexity: 128.46
Iteration: 20; Percent complete: 0.0%; Average loss: 5.3643; Perplexity: 213.64
Iteration: 1; Percent complete: 0.0%; Average loss: 5.3018; Perplexity: 200.69
Iteration: 1; Percent complete: 0.0%; Average loss: 3.7038; Perplexity: 40.60
Iteration: 2; Percent complete: 0.0%; Average loss: 2.6124; Perplexity: 13.63
Iteration: 4; Percent complete: 0.0%; Average loss: 4.4485; Perplexity: 85.50
Iteration: 6; Percent complete: 0.0%; Average loss: 4.5077; Perplexity: 90.71
Iteration: 8; Percent complete: 0.0%; Average loss: 4.5195; Perplexity: 91.79
Iteration: 10; Percent complete: 0.0%; Average loss: 5.2865; Perplexity: 197.66
Iteration: 12; Percent complete: 0.0%; Average loss: 5.2004; Perplexity: 181.35
Iteration: 14; Percent complete: 0.0%; Average loss: 4.3963; Perplexity: 81.15
Iteration: 16; Percent complete: 0.0%; Average loss: 3.6789; Perplexity: 39.60
Iteration: 18; Percent complete: 0.0%; Average loss: 4.4401; Perplexity: 84.79
Iteration: 20; Percent complete: 0.0%; Average loss: 5.1639; Perplexity: 174.85
Iteration: 22; Percent complete: 0.0%; Average loss: 4.4280; Perplexity: 83.76
Iteration: 24; Percent complete: 0.0%; Average loss: 4.4229; Perplexity: 83.33
Iteration: 26; Percent complete: 0.0%; Average loss: 4.4080; Perplexity: 82.10
Iteration: 1; Percent complete: 0.0%; Average loss: 3.6210; Perplexity: 37.38
Iteration: 2; Percent complete: 0.0%; Average loss: 1.8516; Perplexity: 6.37
Iteration: 4; Percent complete: 0.0%; Average loss: 5.2438; Perplexity: 189.39
Iteration: 6; Percent complete: 0.0%; Average loss: 5.2280; Perplexity: 186.42
Iteration: 8; Percent complete: 0.0%; Average loss: 4.4184; Perplexity: 82.96
Iteration: 10; Percent complete: 0.0%; Average loss: 5.1525; Perplexity: 172.85
Iteration: 12; Percent complete: 0.0%; Average loss: 4.4565; Perplexity: 86.19
Iteration: 14; Percent complete: 0.0%; Average loss: 4.4357; Perplexity: 84.41
Iteration: 16; Percent complete: 0.0%; Average loss: 4.5137; Perplexity: 91.26
Iteration: 18; Percent complete: 0.0%; Average loss: 3.6319; Perplexity: 37.78
Iteration: 20; Percent complete: 0.0%; Average loss: 4.3220; Perplexity: 75.34
Iteration: 1; Percent complete: 0.0%; Average loss: 3.6258; Perplexity: 37.56
Iteration: 2; Percent complete: 0.0%; Average loss: 1.8441; Perplexity: 6.32
Iteration: 1; Percent complete: 0.0%; Average loss: 5.2486; Perplexity: 190.31
Iteration: 1; Percent complete: 0.0%; Average loss: 5.1315; Perplexity: 169.27
Iteration: 2; Percent complete: 0.0%; Average loss: 2.7548; Perplexity: 15.72
Iteration: 4; Percent complete: 0.0%; Average loss: 3.7744; Perplexity: 43.57
Iteration: 6; Percent complete: 0.0%; Average loss: 3.6719; Perplexity: 39.33
Iteration: 8; Percent complete: 0.0%; Average loss: 4.1894; Perplexity: 65.98
Iteration: 10; Percent complete: 0.0%; Average loss: 4.0506; Perplexity: 57.43
Iteration: 12; Percent complete: 0.0%; Average loss: 4.5238; Perplexity: 92.19
Iteration: 1; Percent complete: 0.0%; Average loss: 3.5828; Perplexity: 35.97
Iteration: 2; Percent complete: 0.0%; Average loss: 1.8229; Perplexity: 6.19
Iteration: 4; Percent complete: 0.0%; Average loss: 3.9545; Perplexity: 52.17
Iteration: 6; Percent complete: 0.0%; Average loss: 4.3651; Perplexity: 78.66
Iteration: 8; Percent complete: 0.0%; Average loss: 4.6929; Perplexity: 109.17
Iteration: 10; Percent complete: 0.0%; Average loss: 3.6958; Perplexity: 40.28
Iteration: 12; Percent complete: 0.0%; Average loss: 4.5502; Perplexity: 94.65
Iteration: 14; Percent complete: 0.0%; Average loss: 5.2534; Perplexity: 191.21
Iteration: 16; Percent complete: 0.0%; Average loss: 4.6870; Perplexity: 108.53
Iteration: 18; Percent complete: 0.0%; Average loss: 4.6005; Perplexity: 99.54
Iteration: 20; Percent complete: 0.0%; Average loss: 4.4832; Perplexity: 88.52
Iteration: 22; Percent complete: 0.0%; Average loss: 5.2244; Perplexity: 185.74
Iteration: 24; Percent complete: 0.0%; Average loss: 3.8453; Perplexity: 46.77
Iteration: 26; Percent complete: 0.0%; Average loss: 3.6936; Perplexity: 40.19
Iteration: 28; Percent complete: 0.0%; Average loss: 3.7624; Perplexity: 43.05
Iteration: 30; Percent complete: 0.0%; Average loss: 3.5708; Perplexity: 35.54
Iteration: 32; Percent complete: 0.0%; Average loss: 3.6332; Perplexity: 37.84
Iteration: 34; Percent complete: 0.0%; Average loss: 5.2538; Perplexity: 191.29
Iteration: 36; Percent complete: 0.0%; Average loss: 3.9167; Perplexity: 50.23
Iteration: 38; Percent complete: 0.0%; Average loss: 4.7304; Perplexity: 113.34
Iteration: 40; Percent complete: 0.0%; Average loss: 4.4621; Perplexity: 86.67
Iteration: 42; Percent complete: 0.0%; Average loss: 5.2855; Perplexity: 197.45
Iteration: 1; Percent complete: 0.0%; Average loss: 5.1885; Perplexity: 179.20
Iteration: 2; Percent complete: 0.0%; Average loss: 1.9997; Perplexity: 7.39
Iteration: 4; Percent complete: 0.0%; Average loss: 5.4196; Perplexity: 225.78
Iteration: 6; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 8; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 10; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 1; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 2; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 1; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 1; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 1; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 2; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 1; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 2; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 1; Percent complete: 0.0%; Average loss: nan; Perplexity: nan
Iteration: 1; Percent complete: 0.0%; Average loss: 8.6873; Perplexity: 5927.36
Iteration: 2; Percent complete: 0.0%; Average loss: inf; Perplexity: inf
Iteration: 1; Percent complete: 0.0%; Average loss: 5.2713; Perplexity: 194.67
Iteration: 2; Percent complete: 0.0%; Average loss: 1.8731; Perplexity: 6.51
Iteration: 1; Percent complete: 0.0%; Average loss: 3.6294; Perplexity: 37.69
Iteration: 2; Percent complete: 0.0%; Average loss: 1.9140; Perplexity: 6.78
Iteration: 4; Percent complete: 0.0%; Average loss: 4.4553; Perplexity: 86.08
Iteration: 6; Percent complete: 0.0%; Average loss: 3.7195; Perplexity: 41.24
Iteration: 8; Percent complete: 0.0%; Average loss: 4.3783; Perplexity: 79.70
Iteration: 10; Percent complete: 0.0%; Average loss: 4.5130; Perplexity: 91.19
Iteration: 12; Percent complete: 0.0%; Average loss: 4.4888; Perplexity: 89.02
Iteration: 14; Percent complete: 0.0%; Average loss: 4.4962; Perplexity: 89.68
Iteration: 16; Percent complete: 0.0%; Average loss: 5.4955; Perplexity: 243.59
Iteration: 18; Percent complete: 0.0%; Average loss: 4.4883; Perplexity: 88.97
Iteration: 1; Percent complete: 0.0%; Average loss: 5.1699; Perplexity: 175.89
Iteration: 2; Percent complete: 0.0%; Average loss: 2.6752; Perplexity: 14.52
Iteration: 4; Percent complete: 0.0%; Average loss: 3.8140; Perplexity: 45.33
Iteration: 6; Percent complete: 0.0%; Average loss: 5.4452; Perplexity: 231.65
Iteration: 8; Percent complete: 0.0%; Average loss: 4.5291; Perplexity: 92.68
Iteration: 10; Percent complete: 0.0%; Average loss: 4.2625; Perplexity: 70.99
Iteration: 12; Percent complete: 0.0%; Average loss: 4.6442; Perplexity: 103.98
Iteration: 14; Percent complete: 0.0%; Average loss: 5.2570; Perplexity: 191.90
Iteration: 16; Percent complete: 0.0%; Average loss: 5.3437; Perplexity: 209.29
Iteration: 1; Percent complete: 0.0%; Average loss: 3.6611; Perplexity: 38.91
Iteration: 2; Percent complete: 0.0%; Average loss: 1.9478; Perplexity: 7.01
Iteration: 1; Percent complete: 0.0%; Average loss: 5.3172; Perplexity: 203.82
