post,response,emotion
how s it coming ?,you don t think i m insane ?,4
ah i can do it perfectly .,you can t do it . thing .,0
any other bags dr . johnson ?,no . . no . no . .,4
you think it looks nice ?,i think so ! ! !,1
oh it s the way you talk .,it s okay . . . .,2
i think that is really cool of you .,it is too . sue . .,1
how do you like your job here linda ?,i don t know . . .,0
i hope that you had good journey .,you think so ? . . .,0
i m supposed to call in .,there s no other way . .,0
i want to go home .,why ? . . . . .,2
how old is he today ?,four . . . . .,0
and you know what ?,what ? . . . . .,0
your mother won t be going right away charles,i m not crazy ! !,4
but the lord came to me,yes . . . . .,2
i don t wanna talk about it .,well why not ? it s nothing .,0
now how did you get hurt ?,i don t know . . .,0
about a year and a half .,no . . . . .,2
yes . . . lots of things !,well i m sorry about this place .,3
how much more are you thinking ?,four days . friends . . .,1
don t you u dare u .,i don t know . . .,2
how about going swimming ?,no . . . . .,0
i m going to wait in the car .,you re gonna hurt me first .,3
tell me about it .,i don t know . . .,0
can i help you ?,i m looking for moses seradungu s room .,0
no . i never date outside my race .,i meant you re my hero .,2
yes . that is why i m here .,you re a liar . . .,0
what does that sign say ?,nothing . . nothing . . .,0
thank you very much .,now i m good . eh . .,1
one that won t grow up too big .,why not ? they re beautiful . .,0
yes it seems that way to me also .,and you re a lucky man . .,0
george you look terrible .,yeah . . . . .,2
what s going on ?,i don t know . things . .,1
that man s really a bore to me .,i don t understand . . .,0
hey hey y know what ?,what ? i m a sick,2
where is it ? this place ?,it s over blue . velvet .,2
perhaps you d be interested in red roses .,i know . . . .,0
they weren t supposed to arrest me .,you re lucky . . . .,2
is that all you need ?,yes . . . . .,0
that s what i charge .,you did . . . .,0
about two hundred and fifty miles .,how long have you been with them ?,4
with those camera lights and . . .,you re a monster . . .,0
excuse me for taking your time .,i love you . . . .,0
it s awfully quiet around here .,i m sorry . . . .,0
i don t know .,you don t . . . .,0
how far up the trail ?,i don t know . . .,4
they re so precious when they re asleep .,you re a fool . they know .,1
so we better get started .,we can t . . . .,4
take my word for it .,your excellency . . . .,1
what s wrong available ?,i don t know . .i m .,1
is this taxi taken ?,no . . . . .,0
where s your brother ?,i m in the middle . . .,2
but it was u him u,but it s a goddamn time .,1
ever been in a place like this before ?,not yet . . . .,1
hello mr . black how are you ?,hello . how are you ? .,1
i m feeling down .,i m here . .,0
by american express if that s ok .,you re not gonna do it . .,0
she s down . help her . . .,her name is johnny . . .,3
one . in case . . .,. . .should s in the back .,1
where do you live ?,in the new church . . .,0
are you all right ?,i m fine . . . .,0
what makes you say that ?,i said i don t know . .,0
now that was worth waiting for .,but you said . . . ? .,1
what can i do for you ?,i m looking for moses else . .,0
will this be cash or charge ?,i don t know . . .,3
i don t believe it .,why not ? it s pretending .,4
why doesn t he ask her ?,to kill him . . . .,0
do you want to settle the bill now ?,i don t know . . .,0
of course . but only on monday nights .,that s great . . . .,4
i want to ride my own bike .,i want your cigarettes . . .,2
where did you hit her ?,i told you i didn t . .,2
that wasn t my fault .,but you should . . . .,0
oh i forget . sorry .,what is it ? . . .,0
it was on the tv .,so what was it ? . .,1
stand still miss jenny !,there is no time . . .,1
not if you don t want to .,i want to . . . .,0
surely there are other ways to save money .,there was no sign to death .,1
that is exactly what we re looking for .,you re not hurt . . .,1
this is three years old .,yeah . . . . .,4
out for the evening ?,i don t know . . .,1
anything else mr . smith ?,no . no no no no no . .,0
look maybe that s him !,it s a miracle ! look !,4
you re an animal .,that s right . . . .,1
why do you like it best ?,i don t know . . .,1
their real names please .,i don t know . . .,4
why did the chicken cross the road ?,why did they have the other one ?,2
can i help you ?,i m looking for moses seradungu s room .,0
do you believe i love you ?,yes . . . . .,2
jimmy what are you doing ?,i m going to explain it . .,2
are their cards free too ?,yes . . . . .,0
you shouldn t play this game .,i don t have a choice . .,0
rock n roll i guess .,most kids . . . .,0
we can take a bus there .,oh yeah . . . .,0
i won t go any lower than .,why not ? maybe not completely .,0
that was really a nightmare !,we were meeting in a world .,4
what is that i thing i ?,it s a carlton thing . thing .,2
you want zero to kill him ?,i can t tell him . . .,2
mike ! look at the floor !,what ? . . . . .,0
i haven t seen you before .,i know . . . .,0
thank you for your compliment .,i m a good man . . .,1
i like the gym smell .,i don t want to see your work .,2
plus the same deal as before .,i m not sure . . .,4
what would you like to be ?,i m not sure . . .,1
you re looking at him .,but i m not . . .,2
i think television s a dangerous thing .,it s a living . . .,2
are you all right ?,i m fine . . . .,4
pay no attention to me .,are you a little of my own ?,1
it is feeding bottle as the free gift .,really ? . . . . .,1
what would you like to do tonight ?,i don t know . . .,0
i d like to rent a car .,why ? like a deal . .,0
and she s a knock out too .,and what does that mean ? . .,0
i want to see my wife and kid .,i want to talk about my wife . .,4
no i m sorry .,you can t do it . it .,4
kind of . you didn t know ?,if you don t know . . .,2
would you mind doing something for me ?,what ? . . . . .,1
what day is it on earth ?,i don t know . things . .,3
i guess this is a first for you .,it s only a few years . .,4
what do you mean ?,i mean it s a larger story . .,0
my stomach was bothering me .,so was i . killed . .,0
come on . . .,i m going to make you two . .,1
what would you like to drink ?,i don t know . things . .,0
what s the problem ?,i don t know . . .,0
i just stayed at home and watched tv .,and what s that ? pictures ?,0
ah . the royal i think .,i like you . . . .,0
i know the feeling .,but you can t do it .,0
how re ya feeling ?,fine . . . . .,4
assistant . and don t call me jazz .,okay . promise me then . . .,3
my dear francis you do seem extremely uncomfortable .,i m sorry . i love you .,2
eight hundred and fifty thousand dollars .,that s not a long time . .,4
what s going on ?,i don t know . things . .,2
yes . at first sight .,i don t understand . . .,1
i ve been thinking about this .,you re not doing it for me .,0
do you feel like dancing ?,i like protection . . . .,0
