Post,Response,Emotion Category
don t mention it .,i don t even know your name .,0
who s flying the fucking plane ?,i m doing what i can .,4
what does a mango taste like ?,they re like a citrus fruit .,0
and a house . valued at thousand .,so where s that leave us ?,2
why are you doing this ? !,i m doing this for us .,2
it is the rabbit .,. . . you silly sod .,4
could you bring me some food please ?,sure . what do you fancy ?,0
oh yes doolittle i m thinking .,we re running out of time sir .,1
no . i want to know .,. . . sex .,4
i followed his shadow until suddenly . . .,well ? . . .,2
here you go . . .,you re kidding me . . .,4
a long time ago . . .,thirteen years . . .,0
so tell me about you and the chancellor .,what s to tell ?,3
there goes my chance with sid .,like you had one .,1
what s the reason for that ?,i have to go to work .,0
yes . we can pray .,good idea . . .,3
are you ok there ?,oh my computer crashed again !,0
i need a ride out of here .,oh jesus . . .,4
i ll come for you at about eight .,ok i ll be waiting .,0
where is it where is it . . .,smith ? smith ! fuck !,4
really ? that sounds interesting !,can i have my magazine back now ?,0
what a strange young man .,yes . he is a little strange .,4
yes but y know what ?,it doesn t matter who knows what .,0
no . don t bother .,that ll be ninety five cents in all .,0
no not until your cable comes back on .,okay thanks for everything .,1
i suppose you re going to print them ?,no give you another guess .,1
do you study at all ?,depends on what i m studying .,3
he s tall and strong .,i can tell it from your build .,0
i m helen baker .,glad to meet you ms .baker .,1
they want to recommend some jobs to me .,really ? what jobs are they ?,0
it is a new park isn t it ?,yes how do you know ?,0
mind your own business father .,this is my business .,1
tom is jenny crying ?,can you take he away from me ?,0
what i do to simone ?,yes call me simone .,4
linda . . . honey what s wrong ?,i don t know .,1
it s on the fifth avenue .,i m afraid i don t quite understand .,0
and what is that ?,i am not left handed .,1
i don t know . . .,i want his name .,4
finch ! get to the bathroom ! now !,easy tiger . what s in there ?,1
yes i ate some cake .,did you eat any ice cream ?,0
jenny is getting married .,great ! who s the bridegroom ?,1
will you wait for me ?,we re only talking about six weeks .,2
who s going to buy me a beer ?,what s the matter doris ? business bad ?,2
may i speak frankly mrs . mulwray ?,you may if you can mr . gittes .,2
is there anything i can do for you ?,i m looking for a black leather bag .,0
it didn t work out .,that s too bad .,2
anytime you re ready .,ok ok here we go .,0
what do you like to drink ?,well i never drink alcohol coffee or tea .,0
which they did . let me finish .,okay i give up .,1
could you lend me one ?,ok . here you are .,0
why are you smiling ?,why are you smiling ?,1
put more into it !,yea art thou there ? !,2
that s what you get flight pay for .,maybe i shouldn t take it .,0
i m sorry neil .,but father it s not fair .,3
i m still feeling under the weather .,would you like anything for your stomach ?,0
she s in a meeting until noon .,ok i ll try her back then .,0
it s got a v dignan .,what do you think the cops have ?,4
that s more like it .,tell me about it .,0
can we get tickets now ?,i am afraid not . tomorrow is premiere .,0
will that be all today ?,that s it for today . thank you .,1
shouldn t you answer that ?,not now . we need air not greetings !,1
this is three years old .,yeah i ve been busy .,4
i know you didn t .,i appreciate you telling me .,0
that would be great .,how much money do you want to transfer ?,0
what exactly do you mean ?,the message you left .,4
could we sail to venice ?,sure . i love venice .,1
well we ll have breakfast in the garden .,um hum . . .,3
i m fine thank you .,good then let s get to the interview .,0
i have done something like that before .,are you still interested in it ?,0
i can t tell you .,you understand you re on trial for murder ?,1
is it her ? is anne in there ?,she is . don t go in there .,3
how would you like it ?,just a trim will do .,0
you re a lucky guy .,she really loves me .,2
all . what do you mean all ?,the staff the guests .,4
karen i told you not to,wait i know him okay ?,2
are you two okay ?,we ve been better .,4
excuse me is this seat taken ?,no . it s all yours .,0
i feel really on the spot now .,are you gonna do it ?,0
is that so bad ?,i don t know .,4
what became of the princess ?,princess ? i know of no princess .,4
how do you like your coffee ?,with milk but without sugar please .,0
i think i found some thing horrible sir,whatta you mean horrible ?,1
can t locate him .,he s sleeping in the church .,4
can i at least have a drink ?,it s ten thirty in the morning .,4
i enjoy the various characters and the plot .,well . i like the thom birds best .,0
right . and how did she dress him ?,. . . like prince charming .,2
do you need to support your family ?,no my father and brother are doing that .,0
i need to speak with david lin .,he s out of his office .,0
pcc is a wonderful institution .,you have a point .,0
is this all the food i get ?,yes . until breakfast .,3
are we on cops again ?,you could be quiet .,4
so you re from around here ?,no . no i m not .,3
how did you land that ?,it came my way . a week .,2
sure what package do you want ?,what kinds of packages do you offer ?,0
but it s comfortable .,why don t you try sitting up ?,2
i just dropped in to say good bye .,what time are you leaving ?,0
what happened to this book ?,i dropped it and the cover tore off .,0
would you like to choose a chicken ?,which one is cheaper ?,0
i m serious sam .,what the heat here ?,2
you just said everyone needs something .,i ve got everything i need .,2
here s twenty dollars .,do you have small bills ?,0
excuse me is this the parcel post counter ?,no it s at counter right over there .,0
nothing i didn t think of you before .,that s what i mean !,2
how about i go right sir ?,how about you take your position ?,1
can i do anything else for you ?,i want to check these books out .,0
you want these people .,these people my people i want my people .,1
how much is it ?,it s two yuan .,0
then just say he was sixty years old .,is that what it means ?,1
yeah . the fuck do you know ?,i ve seen it before .,2
the . . . bullets ?,oh . the bullets .,0
nick ! how s it going ?,oh hey . . .,0
hey tell ya what .,let me walk you home .,0
what lesson do get outta that story lula ?,it s just another case sailor .,2
no i m gonna drive .,no i m not gonna drive with some crazy,4
you are responsible . . .what has happened ?,we re not sure . . .,2
you are absolutely right .,i d like to come back next weekend .,1
what else can i help you with ?,that s it . thank you .,0
can i ask for leave this afternoon ?,what is the problem ?,0
how do i take the tablets ?,please take tablets each time times a day .,0
well can you explain it to me ?,the price of cpu is dollars above units .,0
i know you saw me .,what . . . ?,4
see ? it stopped .,i still think you should go down .,3
what s your real name ?,i don t like my real name .,0
your body your call .,why is there no our here ?,2
the american ? yes duck .,how did he look ?,2
well ? where the hell are you ?,he s on the move ?,4
last year we made a big snowman .,how big was it ?,0
what do you do there ?,mostly office work filing and so on .,0
them wasn t two for a cent candy .,what s it to you ?,2
i don t see any damage .,my rear bumper is messed up .,0
evil ? do you believe in evil ?,i see it before me .,3
hello bill ! how are things going ?,quite well .thank you .and what about you ?,0
exactly . i very much enjoy that .,do have any idea what i just said ?,0
you can catch the .,that bus goes all the way to la ?,0
i don t know how to use it .,what are you talking about ?,0
when will my passport be ready ?,it will take about three weeks .,1
it s a carpet cleaning company . . .,a carpet cleaning company ?,1
are you sure you can t remember ?,i m absolutely certain .,0
you can stay out till p . m .,but if we re going to be late ?,0
can i take your order ?,i ll take two value meals .,0
i said i think it is .,all right then ! yes !,3
sally do you love me ?,you know i do .,4
and what name of reservation made under ?,it should be under steve johnson .,0
excuse me i need your assistance .,sure what s up ?,0
lemme get my coat .,the one you re wearing ?,4
make them with french dressing .,i ll do that then .,0
those people were already dead .,before the bomb went off ?,4
may i ask you for a dance .,certainly i love waltz very much .,0
how old is she ?,four and a half going on twelve !,1
what are in this folder ?,they are reports of our company .,0
they re like a citrus fruit .,how do i know if it s ripe ?,0
how do you spell her last name ?,kubelik with two k s .,3
i can t do that .,okay then . i ll do it .,4
sure . i loved it .,if you enjoy it you should do it .,1
are you depositing cash or a check ?,i m depositing a check .,0
where d you get that horse ?,beauty ain t he ?,4
don t you ever have any problems ?,i have one now .,2
why ? you gonna do something about it ?,yeah i ll do something .,4
is there a problem ?,i don t know how to use it .,0
no sir ! we have genesis whatever you want,u full power damn you u !,1
nothing . what s going on with you ?,i m having a party this friday .,0
have you got a pen ?,just a moment . . . go ahead .,4
i m not very bright i guess .,i wouldn t say that . careless maybe .,3
would you like fries with that ?,a large with tons of ketchup .,0
i ll die first .,that won t be necessary .,4
thank you .how much is the fare ?,drop cents in the box please .,0
to whom should i report ?,the general manager of your section .,0
